ts,sym,side,qty,px
2021-01-04 11:15:00,BTC_USDT,SELL,0.13220859,31107.662
2021-01-04 11:45:00,BTC_USDT,BUY,0.13081867,31438.148
2021-01-04 12:30:00,BTC_USDT,SELL,0.13081867,30956.344
2021-01-04 12:45:00,BTC_USDT,BUY,0.12946412,31280.387
2021-01-04 13:15:00,BTC_USDT,SELL,0.12946412,30810.135
2021-01-04 13:30:00,BTC_USDT,BUY,0.12807123,31145.133
2021-01-04 14:00:00,BTC_USDT,SELL,0.12807123,30767.947
2021-01-04 14:15:00,BTC_USDT,BUY,0.12616412,31231.512
2021-01-04 14:30:00,BTC_USDT,SELL,0.12616412,30841.666
2021-01-04 14:45:00,BTC_USDT,BUY,0.12484907,31168.113
2021-01-04 15:00:00,BTC_USDT,SELL,0.12484907,30772.37
2021-01-04 15:15:00,BTC_USDT,BUY,0.123545595,31097.05
2021-01-04 16:00:00,BTC_USDT,SELL,0.123545595,30709.29
2021-01-04 16:30:00,BTC_USDT,BUY,0.12231331,31018.791
2021-01-04 19:00:00,BTC_USDT,SELL,0.12231331,30487.35
2021-01-04 19:15:00,BTC_USDT,BUY,0.12067353,30900.63
2021-01-04 20:15:00,BTC_USDT,SELL,0.12067353,30449.125
2021-01-04 21:00:00,BTC_USDT,BUY,0.11951992,30744.062
2021-01-04 21:15:00,BTC_USDT,SELL,0.11951992,30333.48
2021-01-04 22:00:00,BTC_USDT,BUY,0.11838139,30625.191
2021-01-04 22:15:00,BTC_USDT,SELL,0.11838139,30259.38
2021-01-04 22:30:00,BTC_USDT,BUY,0.117032714,30607.777
2021-01-04 23:15:00,BTC_USDT,SELL,0.117032714,30228.707
2021-01-04 23:45:00,BTC_USDT,BUY,0.11676359,30300.0
2021-01-05 00:15:00,BTC_USDT,SELL,0.11676359,30007.83
2021-01-05 00:30:00,BTC_USDT,BUY,0.115297325,30387.78
2021-01-05 00:45:00,BTC_USDT,SELL,0.115297325,29925.498
2021-01-05 01:15:00,BTC_USDT,BUY,0.11376313,30329.035
2021-01-05 03:30:00,BTC_USDT,SELL,0.11376313,30179.432
2021-01-05 03:45:00,BTC_USDT,BUY,0.112429686,30537.664
2021-01-05 04:15:00,BTC_USDT,SELL,0.112429686,30244.37
2021-01-05 04:30:00,BTC_USDT,BUY,0.11067011,30723.8
2021-01-05 05:00:00,BTC_USDT,SELL,0.11067011,30311.701
2021-01-05 05:45:00,BTC_USDT,BUY,0.109117545,30744.05
2021-01-05 07:00:00,BTC_USDT,SELL,0.109117545,30413.92
2021-01-05 07:15:00,BTC_USDT,BUY,0.10789919,30757.807
2021-01-05 08:30:00,BTC_USDT,SELL,0.10789919,30438.701
2021-01-05 08:45:00,BTC_USDT,BUY,0.10673311,30771.375
2021-01-05 09:30:00,BTC_USDT,SELL,0.10673311,30408.697
